image_path,person_id,label,split
test/049/01_049.png,49,0,test
test/049/02_049.png,49,0,test
test/049/03_049.png,49,0,test
test/049/04_049.png,49,0,test
test/049/05_049.png,49,0,test
test/049/06_049.png,49,0,test
test/049/07_049.png,49,0,test
test/049/08_049.png,49,0,test
test/049/09_049.png,49,0,test
test/049/10_049.png,49,0,test
test/049/11_049.png,49,0,test
test/049/12_049.png,49,0,test
test/049_forg/01_0114049.PNG,49,1,test
test/049_forg/01_0206049.PNG,49,1,test
test/049_forg/01_0210049.PNG,49,1,test
test/049_forg/02_0114049.PNG,49,1,test
test/049_forg/02_0206049.PNG,49,1,test
test/049_forg/02_0210049.PNG,49,1,test
test/049_forg/03_0114049.PNG,49,1,test
test/049_forg/03_0206049.PNG,49,1,test
test/049_forg/03_0210049.PNG,49,1,test
test/049_forg/04_0114049.PNG,49,1,test
test/049_forg/04_0206049.PNG,49,1,test
test/049_forg/04_0210049.PNG,49,1,test
test/050/01_050.png,50,0,test
test/050/02_050.png,50,0,test
test/050/03_050.png,50,0,test
test/050/04_050.png,50,0,test
test/050/05_050.png,50,0,test
test/050/06_050.png,50,0,test
test/050/07_050.png,50,0,test
test/050/08_050.png,50,0,test
test/050/09_050.png,50,0,test
test/050/10_050.png,50,0,test
test/050/11_050.png,50,0,test
test/050/12_050.png,50,0,test
test/050_forg/01_0125050.PNG,50,1,test
test/050_forg/01_0126050.PNG,50,1,test
test/050_forg/01_0204050.PNG,50,1,test
test/050_forg/02_0125050.PNG,50,1,test
test/050_forg/02_0126050.PNG,50,1,test
test/050_forg/02_0204050.PNG,50,1,test
test/050_forg/03_0125050.PNG,50,1,test
test/050_forg/03_0126050.PNG,50,1,test
test/050_forg/03_0204050.PNG,50,1,test
test/050_forg/04_0125050.PNG,50,1,test
test/050_forg/04_0126050.PNG,50,1,test
test/050_forg/04_0204050.PNG,50,1,test
test/051/01_051.png,51,0,test
test/051/02_051.png,51,0,test
test/051/03_051.png,51,0,test
test/051/04_051.png,51,0,test
test/051/05_051.png,51,0,test
test/051/06_051.png,51,0,test
test/051/07_051.png,51,0,test
test/051/08_051.png,51,0,test
test/051/09_051.png,51,0,test
test/051/10_051.png,51,0,test
test/051/11_051.png,51,0,test
test/051/12_051.png,51,0,test
test/051_forg/01_0104051.PNG,51,1,test
test/051_forg/01_0120051.PNG,51,1,test
test/051_forg/02_0104051.PNG,51,1,test
test/051_forg/02_0120051.PNG,51,1,test
test/051_forg/03_0104051.PNG,51,1,test
test/051_forg/03_0120051.PNG,51,1,test
test/051_forg/04_0104051.PNG,51,1,test
test/051_forg/04_0120051.PNG,51,1,test
test/052/01_052.png,52,0,test
test/052/02_052.png,52,0,test
test/052/03_052.png,52,0,test
test/052/04_052.png,52,0,test
test/052/05_052.png,52,0,test
test/052/06_052.png,52,0,test
test/052/07_052.png,52,0,test
test/052/08_052.png,52,0,test
test/052/09_052.png,52,0,test
test/052/10_052.png,52,0,test
test/052/11_052.png,52,0,test
test/052/12_052.png,52,0,test
